ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
CLC-DNP	MASTER'S	ART & ARCHITECTURE	SUNY at Buffalo	BUFFALO	FEMALE	BOGOTA D.C.	BACHELOR	ARTES VISUALES	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	LAW	Georgetown University	WASHINGTON D.C	FEMALE	BOGOTA D.C.	BACHELOR	LAW (LL.B., J.D.)	UNIVERSIDAD DE SAN BUENAVENTURA
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Notre Dame	SOUTH BEND	MALE	CALI	BACHELOR	POLITICAL SCIENCE AND GOVERNMENT, GENERAL	EBERHARD-KARLS-UNIVERSITAET TUEBINGEN
CALDAS	Ph.D.	EDUCATION	Columbia University in the City of New York	NEW YORK	FEMALE	BOGOTA D.C.	BACHELOR	HISTORY, OTHER	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Florida	GAINESVILLE	FEMALE	BOGOTA D.C.	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD MILITAR-NUEVA GRANADA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Suffolk University	BOSTON	MALE	MEDELLIN	BACHELOR	ADMINISTRACION DE NEGOCIOS	UNIVERSIDAD EAFIT-
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Columbia University in the City of New York	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	ECONOMIA	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	LAW	American University	WASHINGTON D.C.	MALE	MEDELLIN	BACHELOR	DERECHO	UNIVERSIDAD PONTIFICIA BOLIVARIANA
REG	Ph.D.	ENGINEERING & APPLIED SCIENCES	Washington State University	PULLMAN	MALE	BARRANQUILLA	BACHELOR	INGENIERIA ELECTRICA	UNIVERSIDAD DEL NORTE
ARTS	MASTER'S	ART & ARCHITECTURE	Illinois State University		MALE	BOGOTA D.C.	BACHELOR	ARTES	UNIVERSIDAD DE LOS ANDES
EST. CUL	MASTER'S	HUMANITIES & SOCIAL SCIENCES	SUNY at Binghamton	BINGHAMTON	MALE	SAN ANDRES	BACHELOR	RELACIONES INTERNACIONALES	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
LID	Ph.D.	ART & ARCHITECTURE	University of Florida	GAINESVILLE	MALE	CALI	BACHELOR	ARQUITECTURA	UNIVERSIDAD DE SAN BUENAVENTURA
REG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Florida	GAINESVILLE	MALE	CALI	BACHELOR	BIOLOGIA CON ENFASIS EN ZOOLOGIA	UNIVERSIDAD DEL VALLE
REG	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Nebraska - Lincoln	LINCOLN	FEMALE	MEDELLIN	BACHELOR	INGENIERIA AMBIENTAL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Delaware	NEWARK	MALE	MEDELLIN	BACHELOR	INDUSTRIAL ENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	EDUCATION	University of Connecticut	STORRS	FEMALE	CALI	BACHELOR	PSICOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
