ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
CLC-DNP	MASTER'S	SUNY at Buffalo	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	Georgetown University	FEMALE	BACHELOR	UNIVERSIDAD DE SAN BUENAVENTURA
JWF	Ph.D.	University of Notre Dame	MALE	BACHELOR	EBERHARD-KARLS-UNIVERSITAET TUEBINGEN
CALDAS	Ph.D.	Columbia University in the City of New York	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
SRM	MASTER'S	Suffolk University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	American University	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
REG	Ph.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
ARTS	MASTER'S	Illinois State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
EST. CUL	MASTER'S	SUNY at Binghamton	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
LID	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD DE SAN BUENAVENTURA
REG	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
REG	MASTER'S	University of Nebraska - Lincoln	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
CALDAS	Ph.D.	University of Delaware	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	University of Connecticut	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
REG	MASTER'S	Cornell University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	The University of Montana	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
DU	Ph.D.	University of Illinois at Chicago	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
SRM	MASTER'S	Georgetown University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
JWF	MASTER'S	Georgetown University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	Boston University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
REG	MASTER'S	American University	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
CLC-DNP	Ph.D.	Carnegie Mellon University	MALE	BACHELOR	UNIVERSIDAD DE MEDELLIN
EST. CUL	MASTER'S	Ohio University - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD CENTRAL
SRM	MASTER'S	Pennsylvania State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
EST. CUL	Ph.D.	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
REG	MASTER'S	SUNY College of Environmental Science and Forestry	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
REG	MASTER'S	University of Kansas	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	University of North Carolina at Chapel Hill	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Brown University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	Boston College	MALE	BACHELOR	UNIVERSIDAD EAFIT-
JWF	Ph.D.	Northwestern University	FEMALE	BACHELOR	UNIVERSIDAD EXTERNADO DE COLOMBIA
JWF	MASTER'S	Cornell University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	Emory University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
ARTS	MASTER'S	Harvard University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	SUNY Stony Brook	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
DU	Ph.D.	Rutgers, The State University of New Jersey	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	University of Missouri - Columbia	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD EAFIT-
VS	INV & DOC	University of Oklahoma	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
VS	INV & DOC	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLTA	INV & DOC	Susquehanna University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLTA	INV & DOC	Willamette University	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	North Carolina State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	American University	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
CALDAS	Ph.D.	Ohio University - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DEL NORTE
SRM	MASTER'S	Worcester Polytechnic Institute	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	University of South Florida	FEMALE	BACHELOR	UNIVERSIDAD LIBRE
CALDAS	Ph.D.	SUNY at Buffalo	MALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
REG	Ph.D.		MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.		FEMALE	BACHELOR	UNIVERSIDAD DE MANIZALES
JWF	Ph.D.		MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.		MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	University of New Mexico	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
